name,score,start,stop
ires0|1|,0.9920375,1,89
ires1|1|,0.89517957,1,117
ires2|1|,0.118640766,7,180
ires3|1|,0.99900615,1,90
ires4|1|,0.51333356,1,100
ires5|1|,0.6754379,7,180
ires6|1|,0.99959266,1,71
ires7|1|,0.99806285,1,31
ires8|1|,0.9955064,1,57
ires9|1|,0.37347427,51,224
ires10|1|,0.99376196,1,87
ires11|1|,0.06695529,1,166
ires12|1|,0.8725016,1,174
ires13|0|,0.25507247,1,174
ires14|0|,0.5690324,1,174
ires15|0|,0.35051122,1,174
ires16|0|,0.095114656,1,174
ires17|0|,0.17969744,1,174
ires18|0|,0.32568932,1,174
ires19|0|,0.3219042,1,174
ires20|0|,0.095114656,1,174
ires21|0|,0.3359582,1,174
ires22|0|,0.18020102,1,174
ires23|0|,0.04504943,1,174
ires24|0|,0.25675863,1,174
ires25|0|,0.27176863,1,174
